#,key,char,hbl,cat,edb,jp,eng,cmn,urd,urd_,nep,hin,hin_,ind
93760,連綿,連綿,hbl__08,,edb__KS2,lin4-min4,continuous,,,,,,,
93770,連續,連續,hbl__08,,edb__KS2,lin4-zuk6,continuously,,,,,,,
93780,連聲,連聲,hbl__08,,edb__KS2,lin4-sing1,to say repeatedly,,,,,,,
93790,連貫,連貫,hbl__08,,edb__KS2,lin4-gun3,to be coherent to,,,,,,,
93800,連鎖,連鎖,hbl__08,,edb__KS2,lin4-so2,linkage,,,,,,,
93810,週年,週年,hbl__08,,edb__KS2,zau1-nin4,anniversary,,,,,,,
93820,週末,週末,hbl__08,,edb__KS2,zau1-mut6,weekend,,,,,,,
93830,進一步,進一步,hbl__08,,edb__KS2,zeon3-jat1-bou6,to go a step further,,,,,,,
93840,進修,進修,hbl__08,,edb__KS2,zeon3-sau1,to have further studies,,,,,,,
93850,進化,進化,hbl__08,,edb__KS2,zeon3-faa3,evolution,,,,,,,
93860,進場,進場,hbl__08,,edb__KS2,zeon3-coeng4,to enter the arena,,,,,,,
93870,進展,進展,hbl__08,,edb__KS2,zeon3-zin2,to make progress,,,,,,,
93880,進度,進度,hbl__08,,edb__KS2,zeon3-dou6,rate of progress,,,,,,,
93890,進攻,進攻,hbl__08,,edb__KS2,zeon3-gung1,to attack,,,,,,,
93900,進程,進程,hbl__08,,edb__KS2,zeon3-cing4,course,,,,,,,
93910,進而,進而,hbl__08,,edb__KS2,zeon3-ji4,and then,,,,,,,
93920,進行曲,進行曲,hbl__08,,edb__KS2,zeon3-hang4-kuk1,march,,,,,,,
93930,進軍,進軍,hbl__08,,edb__KS2,zeon3-gwan1,to march,,,,,,,
93940,進逼,進逼,hbl__08,,edb__KS2,zeon3-bik1,to close in on,,,,,,,
93950,逼,逼,hbl__08,,edb__KS2,bik1,to force,,,,,,,
93960,遇溺,遇溺,hbl__08,,edb__KS2,jyu6-nik6,to be drowned,,,,,,,
93970,遇難,遇難,hbl__08,,edb__KS2,jyu6-naan6,to die in an accident,,,,,,,
93980,遊學,遊學,hbl__08,,edb__KS2,jau4-hok6,to study abroad,,,,,,,
93990,遊樂,遊樂,hbl__08,,edb__KS2,jau4-lok6,to play,,,,,,,
94000,遊記,遊記,hbl__08,,edb__KS2,jau4-gei3,travel notes,,,,,,,
94010,運作,運作,hbl__08,,edb__KS2,wan6-zok3,to operate,,,,,,,
94020,運氣,運氣,hbl__08,,edb__KS2,wan6-hei3,fortune,,,,,,,
94030,運河,運河,hbl__08,,edb__KS2,wan6-ho4,canal,,,,,,,
94040,運營,運營,hbl__08,,edb__KS2,wan6-jing4,operation,,,,,,,
94050,運行,運行,hbl__08,,edb__KS2,wan6-hang4,to move,,,,,,,
94060,運載,運載,hbl__08,,edb__KS2,wan6-zoi3,to carry,,,,,,,
94070,運轉,運轉,hbl__08,,edb__KS2,wan6-zyun2,to revolve,,,,,,,
94080,過份,過份,hbl__08,,edb__KS2,gwo3-fan6,too much,,,,,,,
94090,過分,過分,hbl__08,,edb__KS2,gwo3-fan6,too much,,,,,,,
94100,過問,過問,hbl__08,,edb__KS2,gwo3-man6,to look into,,,,,,,
94110,過失,過失,hbl__08,,edb__KS2,gwo3-sat1,fault,,,,,,,
94120,過度,過度,hbl__08,,edb__KS2,gwo3-dou6,too much,,,,,,,
94130,過往,過往,hbl__08,,edb__KS2,gwo3-wong5,the past,,,,,,,
94140,過渡,過渡,hbl__08,,edb__KS2,gwo3-dou6,transition,,,,,,,
94150,過濾,過濾,hbl__08,,edb__KS2,gwo3-leoi6,to filter,,,,,,,
94160,道士,道士,hbl__08,,edb__KS2,dou6-si6,Taoist priest,,,,,,,
94170,道德,道德,hbl__08,,edb__KS2,dou6-dak1,morality,,,,,,,
94180,道教,道教,hbl__08,,edb__KS2,dou6-gaau3,Taoism,,,,,,,
94190,達成,達成,hbl__08,,edb__KS2,daat6-sing4,to reach an agreement,,,,,,,
94200,達標,達標,hbl__08,,edb__KS2,daat6-biu1,to meet the target,,,,,,,
94210,遜色,遜色,hbl__08,,edb__KS2,seon3-sik1,inferior,,,,,,,
94220,遞,遞,hbl__08,,edb__KS2,dai6,to hand over,,,,,,,
94230,遠古,遠古,hbl__08,,edb__KS2,jyun5-gu2,ancient,,,,,,,
94240,遠山,遠山,hbl__08,,edb__KS2,jyun5-saan1,far mountains,,,,,,,
94250,遠離,遠離,hbl__08,,edb__KS2,jyun5-lei4,far away from,,,,,,,
94260,適中,適中,hbl__08,,edb__KS2,sik1-zung1,moderate,,,,,,,
94270,適應,適應,hbl__08,,edb__KS2,sik1-jing3,to adapt,,,,,,,
94280,適用,適用,hbl__08,,edb__KS2,sik1-jung6,to suit,,,,,,,
94290,遭受,遭受,hbl__08,,edb__KS2,zou1-sau6,to suffer,,,,,,,
94300,遭遇,遭遇,hbl__08,,edb__KS2,zou1-jyu6,to meet with,,,,,,,
94310,遮蓋,遮蓋,hbl__08,,edb__KS2,ze1-koi3[ze1-goi3],to cover,,,,,,,
94320,遲疑,遲疑,hbl__08,,edb__KS2,ci4-ji4,to hesitate,,,,,,,
94330,遲鈍,遲鈍,hbl__08,,edb__KS2,ci4-deon6,dull,,,,,,,
94340,選手,選手,hbl__08,,edb__KS2,syun2-sau2,competitor,,,,,,,
94350,選拔,選拔,hbl__08,,edb__KS2,syun2-bat6,to select,,,,,,,
94360,選材,選材,hbl__08,,edb__KS2,syun2-coi4,to select material,,,,,,,
94370,選民,選民,hbl__08,,edb__KS2,syun2-man4,voter,,,,,,,
94380,選票,選票,hbl__08,,edb__KS2,syun2-piu3,vote,,,,,,,
94390,選舉,選舉,hbl__08,,edb__KS2,syun2-geoi2,to elect,,,,,,,
94400,選購,選購,hbl__08,,edb__KS2,syun2-kau3[syun2-gau3],to choose and buy,,,,,,,
94410,遺傳,遺傳,hbl__08,,edb__KS2,wai4-cyun4,heredity,,,,,,,
94420,遺忘,遺忘,hbl__08,,edb__KS2,wai4-mong4,to forget,,,,,,,
94430,遺產,遺產,hbl__08,,edb__KS2,wai4-caan2,legacy,,,,,,,
94440,遺留,遺留,hbl__08,,edb__KS2,wai4-lau4,to leave over,,,,,,,
94450,遺體,遺體,hbl__08,,edb__KS2,wai4-tai2,remains (of the dead),,,,,,,
94460,遼闊,遼闊,hbl__08,,edb__KS2,liu4-fut3,vast,,,,,,,
94470,避開,避開,hbl__08,,edb__KS2,bei6-hoi1,to evade,,,,,,,
94480,邁,邁,hbl__08,,edb__KS2,maai6,to step,,,,,,,
94490,邁進,邁進,hbl__08,,edb__KS2,maai6-zeon3,to stride forward,,,,,,,
94500,還原,還原,hbl__08,,edb__KS2,waan4-jyun4,to restore,,,,,,,
94510,邊境,邊境,hbl__08,,edb__KS2,bin1-ging2,border,,,,,,,
94520,邊界,邊界,hbl__08,,edb__KS2,bin1-gaai3,border,,,,,,,
94530,邊緣,邊緣,hbl__08,,edb__KS2,bin1-jyun4,edge,,,,,,,
94540,邊遠,邊遠,hbl__08,,edb__KS2,bin1-jyun5,far from the centre,,,,,,,
94550,邊防,邊防,hbl__08,,edb__KS2,bin1-fong4,frontier defence,,,,,,,
94560,邪惡,邪惡,hbl__08,,edb__KS2,ce4-ok3,evil,,,,,,,
94570,部下,部下,hbl__08,,edb__KS2,bou6-haa6,subordinate,,,,,,,
94580,部件,部件,hbl__08,,edb__KS2,bou6-gin6[bou6-gin2],part,,,,,,,
94590,部位,部位,hbl__08,,edb__KS2,bou6-wai6,position,,,,,,,
94600,部族,部族,hbl__08,,edb__KS2,bou6-zuk6,tribe,,,,,,,
94610,部署,部署,hbl__08,,edb__KS2,bou6-cyu5,to deploy,,,,,,,
94620,部落,部落,hbl__08,,edb__KS2,bou6-lok6,tribe,,,,,,,
94630,部隊,部隊,hbl__08,,edb__KS2,bou6-deoi2[bou6-deoi6],army,,,,,,,
94640,鄉,鄉,hbl__08,,edb__KS2,hoeng1,countryside,,,,,,,
94650,鄉親,鄉親,hbl__08,,edb__KS2,hoeng1-can1,person from the same village as yours,,,,,,,
94660,鄉鎮,鄉鎮,hbl__08,,edb__KS2,hoeng1-zan3,villages and towns,,,,,,,
94670,鄭重,鄭重,hbl__08,,edb__KS2,zeng6-zung6,serious,,,,,,,
94680,鄰舍,鄰舍,hbl__08,,edb__KS2,leon4-se3,neighbour,,,,,,,
94690,配件,配件,hbl__08,,edb__KS2,pui3-gin6[pui3-gin2],accessory,,,,,,,
94700,配備,配備,hbl__08,,edb__KS2,pui3-bei6,equipment,,,,,,,
94710,配套,配套,hbl__08,,edb__KS2,pui3-tou3,complement,,,,,,,
94720,配搭,配搭,hbl__08,,edb__KS2,pui3-daap3,match,,,,,,,
94730,酒席,酒席,hbl__08,,edb__KS2,zau2-zik6,feast,,,,,,,
94750,酬賓,酬賓,hbl__08,,edb__KS2,cau4-ban1,bargain sales,,,,,,,
94760,酷暑,酷暑,hbl__08,,edb__KS2,huk6-syu2,intense heat of summer,,,,,,,
94770,酷熱,酷熱,hbl__08,,edb__KS2,huk6-jit6,sultry,,,,,,,
94780,醉,醉,hbl__08,,edb__KS2,zeoi3,drunk,,,,,,,
94790,醒覺,醒覺,hbl__08,,edb__KS2,sing2-gok3,to realise,,,,,,,
94800,醫務,醫務,hbl__08,,edb__KS2,ji1-mou6,medical matters,,,,,,,
94810,醫學,醫學,hbl__08,,edb__KS2,ji1-hok6,medical science,,,,,,,
94820,釋放,釋放,hbl__08,,edb__KS2,sik1-fong3,to release,,,,,,,
94830,重心,重心,hbl__08,,edb__KS2,zung6-sam1,core,,,,,,,
94840,重申,重申,hbl__08,,edb__KS2,cung4-san1,to reaffirm,,,,,,,
94850,重疊,重疊,hbl__08,,edb__KS2,cung4-dip6,overlapping,,,,,,,
94860,重視,重視,hbl__08,,edb__KS2,zung6-si6,to attach importance to,,,,,,,
94870,重重,重重,hbl__08,,edb__KS2,cung4-cung4,layer after layer,,,,,,,
94880,野心,野心,hbl__08,,edb__KS2,je5-sam1,ambition,,,,,,,
94890,野生,野生,hbl__08,,edb__KS2,je5-sang1,wild,,,,,,,
94900,量,量,hbl__08,,edb__KS2,loeng6,amount,,,,,,,
94910,量,量,hbl__08,,edb__KS2,loeng4,to measure,,,,,,,
94920,金秋,金秋,hbl__08,,edb__KS2,gam1-cau1,autumn,,,,,,,
94930,金融,金融,hbl__08,,edb__KS2,gam1-jung4,finance,,,,,,,
94940,金額,金額,hbl__08,,edb__KS2,gam1-ngaak6[gam1-ngaak2],sum of money,,,,,,,
94950,釘子,釘子,hbl__08,,edb__KS2,deng1-zi2,nail,,,,,,,
94960,針對,針對,hbl__08,,edb__KS2,zam1-deoi3,to be aimed at,,,,,,,
94970,鈍角,鈍角,hbl__08,,edb__KS2,deon6-gok3,obtuse angle,,,,,,,
94980,銀杏,銀杏,hbl__08,,edb__KS2,ngan4-hang6,gingko,,,,,,,
94990,銷售,銷售,hbl__08,,edb__KS2,siu1-sau6,to sell,,,,,,,
95000,銷毀,銷毀,hbl__08,,edb__KS2,siu1-wai2,to destroy,,,,,,,
95010,銷路,銷路,hbl__08,,edb__KS2,siu1-lou6,sale,,,,,,,
95020,鋪,鋪,hbl__08,,edb__KS2,pou1,to pave,,,,,,,
95030,錄,錄,hbl__08,,edb__KS2,luk6,to record and write,,,,,,,
95040,錄像,錄像,hbl__08,,edb__KS2,luk6-zoeng6,video,,,,,,,
95050,錄取,錄取,hbl__08,,edb__KS2,luk6-ceoi2,to enrol,,,,,,,
95060,錄影,錄影,hbl__08,,edb__KS2,luk6-jing2,video,,,,,,,
95070,錦上添花,錦上添花,hbl__08,,edb__KS2,gam2-soeng6-tim1-faa1,to make beautiful things more beautiful,,,,,,,
95080,錦標,錦標,hbl__08,,edb__KS2,gam2-biu1,championship,,,,,,,
95090,錯覺,錯覺,hbl__08,,edb__KS2,co3-gok3,illusion,,,,,,,
95100,錯過,錯過,hbl__08,,edb__KS2,co3-gwo3,to miss,,,,,,,
95110,鍾情,鍾情,hbl__08,,edb__KS2,zung1-cing4,lovingness,,,,,,,
95120,鎖,鎖,hbl__08,,edb__KS2,so2,lock,,,,,,,
95130,鎮壓,鎮壓,hbl__08,,edb__KS2,zan3-aat3,to suppress,,,,,,,
95140,鏡頭,鏡頭,hbl__08,,edb__KS2,geng3-tau4,camera lens,,,,,,,
95150,鐘頭,鐘頭,hbl__08,,edb__KS2,zung1-tau4,hour,,,,,,,
95160,鑼,鑼,hbl__08,,edb__KS2,lo4,gong,,,,,,,
95170,鑼鼓,鑼鼓,hbl__08,,edb__KS2,lo4-gu2,gong and drum,,,,,,,
95180,鑽研,鑽研,hbl__08,,edb__KS2,zyun3-jin4,to study intensively,,,,,,,
95190,長久,長久,hbl__08,,edb__KS2,coeng4-gau2,permanently,,,,,,,
95200,長城,長城,hbl__08,,edb__KS2,coeng4-sing4,the Great Wall,,,,,,,
95210,長壽,長壽,hbl__08,,edb__KS2,coeng4-sau6,longevity,,,,,,,
95220,長短,長短,hbl__08,,edb__KS2,coeng4-dyun2,length,,,,,,,
95230,門户,門户,hbl__08,,edb__KS2,mun4-wu6,door,,,,,,,
95240,門診,門診,hbl__08,,edb__KS2,mun4-can2,outpatient service,,,,,,,
95250,閃亮,閃亮,hbl__08,,edb__KS2,sim2-loeng6,sparkling,,,,,,,
95260,閉,閉,hbl__08,,edb__KS2,bai3,to shut,,,,,,,
95270,閉幕,閉幕,hbl__08,,edb__KS2,bai3-mok6,closing ceremony,,,,,,,
95280,開市,開市,hbl__08,,edb__KS2,hoi1-si5,to begin to trade in a market,,,,,,,
95290,開幕,開幕,hbl__08,,edb__KS2,hoi1-mok6,the curtain rises,,,,,,,
95300,開支,開支,hbl__08,,edb__KS2,hoi1-zi1,to pay,,,,,,,
95310,開業,開業,hbl__08,,edb__KS2,hoi1-jip6,to start a business,,,,,,,
95320,開發,開發,hbl__08,,edb__KS2,hoi1-faat3,to develop,,,,,,,
95330,開端,開端,hbl__08,,edb__KS2,hoi1-dyun1,beginning,,,,,,,
95340,開設,開設,hbl__08,,edb__KS2,hoi1-cit3,to set up,,,,,,,
95350,開辦,開辦,hbl__08,,edb__KS2,hoi1-baan6,to start,,,,,,,
95360,開通,開通,hbl__08,,edb__KS2,hoi1-tung1,to open,,,,,,,
95370,開闊,開闊,hbl__08,,edb__KS2,hoi1-fut3,open and clear,,,,,,,
95380,開關,開關,hbl__08,,edb__KS2,hoi1-gwaan1,switch,,,,,,,
95390,開闢,開闢,hbl__08,,edb__KS2,hoi1-pik1,to open up,,,,,,,
95400,開頭,開頭,hbl__08,,edb__KS2,hoi1-tau4,in the beginning,,,,,,,
95410,閒談,閒談,hbl__08,,edb__KS2,haan4-taam4,to gossip,,,,,,,
95420,間接,間接,hbl__08,,edb__KS2,gaan3-zip3,indirect,,,,,,,
95430,閣下,閣下,hbl__08,,edb__KS2,gok3-haa6,Your Excellency,,,,,,,
95440,闊佬,闊佬,hbl__08,,edb__KS2,fut3-lou2,man of wealth,,,,,,,
95450,闊度,闊度,hbl__08,,edb__KS2,fut3-dou6,width,,,,,,,
95460,闖,闖,hbl__08,,edb__KS2,cong2,to rush,,,,,,,
95470,關係,關係,hbl__08,,edb__KS2,gwaan1-hai6,connection,,,,,,,
95480,關切,關切,hbl__08,,edb__KS2,gwaan1-cit3,considerate,,,,,,,
95490,關注,關注,hbl__08,,edb__KS2,gwaan1-zyu3,to follow with interest,,,,,,,
95500,關鍵,關鍵,hbl__08,,edb__KS2,gwaan1-gin6,key,,,,,,,
95510,關閉,關閉,hbl__08,,edb__KS2,gwaan1-bai3,to close,,,,,,,
95520,關頭,關頭,hbl__08,,edb__KS2,gwaan1-tau4,juncture,,,,,,,
95530,防守,防守,hbl__08,,edb__KS2,fong4-sau2,to defend,,,,,,,
95540,防暴,防暴,hbl__08,,edb__KS2,fong4-bou6,antiriot,,,,,,,
95550,防治,防治,hbl__08,,edb__KS2,fong4-zi6,preventive treatment,,,,,,,
95560,防盜,防盜,hbl__08,,edb__KS2,fong4-dou6,to guard against burglary,,,,,,,
95570,防範,防範,hbl__08,,edb__KS2,fong4-faan6,to guard against,,,,,,,
95580,防衞,防衞,hbl__08,,edb__KS2,fong4-wai6,to defend,,,,,,,
95590,阻力,阻力,hbl__08,,edb__KS2,zo2-lik6,resistance,,,,,,,
95600,阻塞,阻塞,hbl__08,,edb__KS2,zo2-sak1,to block,,,,,,,
95610,附,附,hbl__08,,edb__KS2,fu6,to attach to,,,,,,,
95620,附件,附件,hbl__08,,edb__KS2,fu6-gin6[fu6-gin2],appendix,,,,,,,
95630,附加,附加,hbl__08,,edb__KS2,fu6-gaa1,to add,,,,,,,
95640,附屬,附屬,hbl__08,,edb__KS2,fu6-suk6,subsidiary,,,,,,,
95650,附錄,附錄,hbl__08,,edb__KS2,fu6-luk6,appendix,,,,,,,
95660,限制,限制,hbl__08,,edb__KS2,haan6-zai3,to restrict,,,,,,,
95670,限度,限度,hbl__08,,edb__KS2,haan6-dou6,limit,,,,,,,
95680,限期,限期,hbl__08,,edb__KS2,haan6-kei4,time limit,,,,,,,
95690,限額,限額,hbl__08,,edb__KS2,haan6-ngaak6,quota,,,,,,,
95700,陡峭,陡峭,hbl__08,,edb__KS2,dau2-ciu3,very steep,,,,,,,
95710,院校,院校,hbl__08,,edb__KS2,jyun2-haau6,institute,,,,,,,
95720,陣地,陣地,hbl__08,,edb__KS2,zan6-dei6,position,,,,,,,
95730,陣容,陣容,hbl__08,,edb__KS2,zan6-jung4,line-up,,,,,,,
95740,陣線,陣線,hbl__08,,edb__KS2,zan6-sin3,front,,,,,,,
95750,除外,除外,hbl__08,,edb__KS2,ceoi4-ngoi6,except,,,,,,,
95760,除非,除非,hbl__08,,edb__KS2,ceoi4-fei1,only if,,,,,,,
95770,陪伴,陪伴,hbl__08,,edb__KS2,pui4-bun6,to accompany,,,,,,,
95780,陰影,陰影,hbl__08,,edb__KS2,jam1-jing2,shadow,,,,,,,
95790,陰謀,陰謀,hbl__08,,edb__KS2,jam1-mau4,plot,,,,,,,
95800,陳列,陳列,hbl__08,,edb__KS2,can4-lit6,to show or display,,,,,,,
95810,陳設,陳設,hbl__08,,edb__KS2,can4-cit3,furnishing,,,,,,,
95820,陳述,陳述,hbl__08,,edb__KS2,can4-seot6,to state,,,,,,,
95830,陶冶,陶冶,hbl__08,,edb__KS2,tou4-je5,to make pottery,,,,,,,
95840,陶瓷,陶瓷,hbl__08,,edb__KS2,tou4-ci4,pottery,,,,,,,
95850,陶醉,陶醉,hbl__08,,edb__KS2,tou4-zeoi3,intoxicated,,,,,,,
95860,陷,陷,hbl__08,,edb__KS2,haam6,to get stuck or bogged down,,,,,,,
95870,陸續,陸續,hbl__08,,edb__KS2,luk6-zuk6,continually,,,,,,,
95880,隆重,隆重,hbl__08,,edb__KS2,lung4-zung6,grand,,,,,,,
95890,隆隆,隆隆,hbl__08,,edb__KS2,lung4-lung4,rumble,,,,,,,
95900,隊友,隊友,hbl__08,,edb__KS2,deoi6-jau5,team-mate,,,,,,,
95910,階層,階層,hbl__08,,edb__KS2,gaai1-cang4,stratum,,,,,,,
95920,階梯,階梯,hbl__08,,edb__KS2,gaai1-tai1,ladder,,,,,,,
95930,階段,階段,hbl__08,,edb__KS2,gaai1-dyun6,phase,,,,,,,
95940,階級,階級,hbl__08,,edb__KS2,gaai1-kap1,class,,,,,,,
95950,隔,隔,hbl__08,,edb__KS2,gaak3,at a distance from,,,,,,,
95960,隔絕,隔絕,hbl__08,,edb__KS2,gaak3-zyut6,to isolate,,,,,,,
95970,隔離,隔離,hbl__08,,edb__KS2,gaak3-lei4,to isolate,,,,,,,
95980,隨即,隨即,hbl__08,,edb__KS2,ceoi4-zik1,immediately,,,,,,,
95990,隨地,隨地,hbl__08,,edb__KS2,ceoi4-dei6,anywhere,,,,,,,
96000,隨後,隨後,hbl__08,,edb__KS2,ceoi4-hau6,soon afterwards,,,,,,,
96010,隨心所欲,隨心所欲,hbl__08,,edb__KS2,ceoi4-sam1-so2-juk6,to do as one likes,,,,,,,
96020,隨意,隨意,hbl__08,,edb__KS2,ceoi4-ji3,at will,,,,,,,
96030,隨處,隨處,hbl__08,,edb__KS2,ceoi4-cyu3,everywhere,,,,,,,
96040,隨行,隨行,hbl__08,,edb__KS2,ceoi4-hang4,to accompany or follow somebody on a trip,,,,,,,
96050,隱形,隱形,hbl__08,,edb__KS2,jan2-jing4,invisible,,,,,,,
96060,隱約,隱約,hbl__08,,edb__KS2,jan2-joek3,dim,,,,,,,
96070,隱藏,隱藏,hbl__08,,edb__KS2,jan2-cong4,to hide,,,,,,,
96080,雀躍,雀躍,hbl__08,,edb__KS2,zoek3-joek3[zoek3-joek6],to jump for joy,,,,,,,
96090,雄偉,雄偉,hbl__08,,edb__KS2,hung4-wai5,grand,,,,,,,
96100,雄壯,雄壯,hbl__08,,edb__KS2,hung4-zong3,majestic,,,,,,,
96110,集,集,hbl__08,,edb__KS2,zaap6,to collect,,,,,,,
96120,集團,集團,hbl__08,,edb__KS2,zaap6-tyun4,bloc,,,,,,,
96130,集會,集會,hbl__08,,edb__KS2,zaap6-wui6[zaap6-wui2],assembly,,,,,,,
96140,集訓,集訓,hbl__08,,edb__KS2,zaap6-fan3,to assemble for training,,,,,,,
96150,集資,集資,hbl__08,,edb__KS2,zaap6-zi1,to collect money,,,,,,,
96160,集郵,集郵,hbl__08,,edb__KS2,zaap6-jau4,stamp-collecting,,,,,,,
96170,集體,集體,hbl__08,,edb__KS2,zaap6-tai2,collective,,,,,,,
96180,雕,雕,hbl__08,,edb__KS2,diu1,to carve,,,,,,,
96190,雕塑,雕塑,hbl__08,,edb__KS2,diu1-sou3,sculpture,,,,,,,
96200,雖説,雖説,hbl__08,,edb__KS2,seoi1-syut3,although,,,,,,,
96210,雙方,雙方,hbl__08,,edb__KS2,soeng1-fong1,both sides,,,,,,,
96220,雙雙,雙雙,hbl__08,,edb__KS2,soeng1-soeng1,in pair,,,,,,,
96230,雜物,雜物,hbl__08,,edb__KS2,zaap6-mat6,odds and ends,,,,,,,
96240,離,離,hbl__08,,edb__KS2,lei4,to leave,,,,,,,
96250,難以,難以,hbl__08,,edb__KS2,naan4-ji5,hard to,,,,,,,
96260,難免,難免,hbl__08,,edb__KS2,naan4-min5,hard to avoid,,,,,,,
96270,難堪,難堪,hbl__08,,edb__KS2,naan4-ham1,intolerable,,,,,,,
96280,難度,難度,hbl__08,,edb__KS2,naan4-dou6,degree of difficulty,,,,,,,
96290,難得一見,難得一見,hbl__08,,edb__KS2,naan4-dak1-jat1-gin3,hard to see,,,,,,,
96300,難能可貴,難能可貴,hbl__08,,edb__KS2,naan4-nang4-ho2-gwai3,deserving praise for one's excellent conduct,,,,,,,
96310,難道,難道,hbl__08,,edb__KS2,naan4-dou6,surely it doesn't mean that ...?,,,,,,,
96320,難關,難關,hbl__08,,edb__KS2,naan4-gwaan1,difficulty,,,,,,,
96330,難題,難題,hbl__08,,edb__KS2,naan4-tai4,difficult problem,,,,,,,
96340,難點,難點,hbl__08,,edb__KS2,naan4-dim2,difficult point,,,,,,,
96350,雪上加霜,雪上加霜,hbl__08,,edb__KS2,syut3-soeng6-gaa1-soeng1,to make things worse,,,,,,,
96360,零件,零件,hbl__08,,edb__KS2,ling4-gin6[ling4-gin2],spare parts,,,,,,,
96370,零售,零售,hbl__08,,edb__KS2,ling4-sau6,retail,,,,,,,
96380,零錢,零錢,hbl__08,,edb__KS2,ling4-cin4,small change,,,,,,,
96390,雷達,雷達,hbl__08,,edb__KS2,leoi4-daat6,radar,,,,,,,
96400,電報,電報,hbl__08,,edb__KS2,din6-bou3,telegram,,,,,,,
96410,電壓,電壓,hbl__08,,edb__KS2,din6-aat3,voltage,,,,,,,
96420,電子,電子,hbl__08,,edb__KS2,din6-zi2,electron,,,,,,,
96430,電氣化,電氣化,hbl__08,,edb__KS2,din6-hei3-faa3,electrification,,,,,,,
96440,電流,電流,hbl__08,,edb__KS2,din6-lau4,electric current,,,,,,,
96450,電源,電源,hbl__08,,edb__KS2,din6-jyun4,power supply,,,,,,,
96460,電纜,電纜,hbl__08,,edb__KS2,din6-laam6,cable,,,,,,,
96470,電訊,電訊,hbl__08,,edb__KS2,din6-seon3,telecommunication,,,,,,,
96480,需求,需求,hbl__08,,edb__KS2,seoi1-kau4,requirement,,,,,,,
96490,震動,震動,hbl__08,,edb__KS2,zan3-dung6,to shake,,,,,,,
96500,震驚,震驚,hbl__08,,edb__KS2,zan3-ging1,to amaze,,,,,,,
96510,霍亂,霍亂,hbl__08,,edb__KS2,fok3-lyun6,cholera,,,,,,,
96520,露天,露天,hbl__08,,edb__KS2,lou6-tin1,in the open air,,,,,,,
96530,靈巧,靈巧,hbl__08,,edb__KS2,ling4-haau2,dexterous,,,,,,,
96540,靈感,靈感,hbl__08,,edb__KS2,ling4-gam2,inspiration,,,,,,,
96550,靈敏,靈敏,hbl__08,,edb__KS2,ling4-man5,sensitive,,,,,,,
96560,靈車,靈車,hbl__08,,edb__KS2,ling4-ce1,hearse,,,,,,,
96570,靈魂,靈魂,hbl__08,,edb__KS2,ling4-wan4,soul,,,,,,,
96580,青天,青天,hbl__08,,edb__KS2,cing1-tin1,blue sky,,,,,,,
96590,青春,青春,hbl__08,,edb__KS2,cing1-ceon1,youth,,,,,,,
96600,青春痘,青春痘,hbl__08,,edb__KS2,cing1-ceon1-dau6,pimple,,,,,,,
96610,青黃不接,青黃不接,hbl__08,,edb__KS2,cing1-wong4-bat1-zip3,gap in succession,,,,,,,
96620,靜止,靜止,hbl__08,,edb__KS2,zing6-zi2,still,,,,,,,
96630,靠,靠,hbl__08,,edb__KS2,kaau3,to depend on,,,,,,,
96640,面向,面向,hbl__08,,edb__KS2,min6-hoeng3,to face,,,,,,,
96650,面子,面子,hbl__08,,edb__KS2,min6-zi2,face,,,,,,,
96660,面對,面對,hbl__08,,edb__KS2,min6-deoi3,to confront,,,,,,,
96670,面目,面目,hbl__08,,edb__KS2,min6-muk6,appearance,,,,,,,
96680,面積,面積,hbl__08,,edb__KS2,min6-zik1,area,,,,,,,
96690,面臨,面臨,hbl__08,,edb__KS2,min6-lam4,to be confronted with,,,,,,,
96700,面面觀,面面觀,hbl__08,,edb__KS2,min6-min6-gun1,view from every aspect,,,,,,,
96710,革命,革命,hbl__08,,edb__KS2,gaak3-ming6,to take part in revolution,,,,,,,
96720,革新,革新,hbl__08,,edb__KS2,gaak3-san1,to reform,,,,,,,
96730,鞏固,鞏固,hbl__08,,edb__KS2,gung2-gu3,to consolidate,,,,,,,
96740,鞠躬,鞠躬,hbl__08,,edb__KS2,guk1-gung1,to bow,,,,,,,
96750,音像,音像,hbl__08,,edb__KS2,jam1-zoeng6,audio-visual,,,,,,,
96760,音符,音符,hbl__08,,edb__KS2,jam1-fu4,note (in music),,,,,,,
96770,音響,音響,hbl__08,,edb__KS2,jam1-hoeng2,sound,,,,,,,
96780,韻味,韻味,hbl__08,,edb__KS2,wan6-mei6,lingering charm,,,,,,,
96790,韻律,韻律,hbl__08,,edb__KS2,wan6-leot6,cadence,,,,,,,
96800,韻母,韻母,hbl__08,,edb__KS2,wan6-mou5,vowel,,,,,,,
96810,響應,響應,hbl__08,,edb__KS2,hoeng2-jing3,to respond,,,,,,,
96820,頂端,頂端,hbl__08,,edb__KS2,ding2-dyun1,top,,,,,,,
96830,頂點,頂點,hbl__08,,edb__KS2,ding2-dim2,summit,,,,,,,
96840,項鏈,項鏈,hbl__08,,edb__KS2,hong6-lin6,necklace,,,,,,,
96850,順手,順手,hbl__08,,edb__KS2,seon6-sau2,handy,,,,,,,
96860,順理成章,順理成章,hbl__08,,edb__KS2,seon6-lei5-sing4-zoeng1,logical,,,,,,,
96870,須,須,hbl__08,,edb__KS2,seoi1,must,,,,,,,
